num_article,doi,term
100,https://doi.org/10.1186/s13063-023-07765-4,inulin supplementation
100,https://doi.org/10.1186/s13063-023-07765-4,inflammatory
100,https://doi.org/10.1186/s13063-023-07765-4,oxidative stress
100,https://doi.org/10.1186/s13063-023-07765-4,markers
100,https://doi.org/10.1186/s13063-023-07765-4,Migraine
100,https://doi.org/10.1186/s13063-023-07765-4,disorder
100,https://doi.org/10.1186/s13063-023-07765-4,headache
100,https://doi.org/10.1186/s13063-023-07765-4,gut-brain axis
100,https://doi.org/10.1186/s13063-023-07765-4,inflammation
100,https://doi.org/10.1186/s13063-023-07765-4,clinical outcomes
100,https://doi.org/10.1186/s13063-023-07765-4,quality of life
100,https://doi.org/10.1186/s13063-023-07765-4,diagnosis
100,https://doi.org/10.1186/s13063-023-07765-4,maltodextrin
100,https://doi.org/10.1186/s13063-023-07765-4,placebo
100,https://doi.org/10.1186/s13063-023-07765-4,QOL
100,https://doi.org/10.1186/s13063-023-07765-4,gut microbiota manipulation
101,https://doi.org/10.1590/1984-3143-AR2023-0082,intestinal microbiota
101,https://doi.org/10.1590/1984-3143-AR2023-0082,humans
101,https://doi.org/10.1590/1984-3143-AR2023-0082,dogs
101,https://doi.org/10.1590/1984-3143-AR2023-0082,health
101,https://doi.org/10.1590/1984-3143-AR2023-0082,immune system
101,https://doi.org/10.1590/1984-3143-AR2023-0082,host
101,https://doi.org/10.1590/1984-3143-AR2023-0082,cognitive function
101,https://doi.org/10.1590/1984-3143-AR2023-0082,therapeutic interventions
102,https://doi.org/10.3389/fnagi.2023.1266955,cognition
102,https://doi.org/10.3389/fnagi.2023.1266955,gut microbiome
102,https://doi.org/10.3389/fnagi.2023.1266955,cognitive impaiRment
102,https://doi.org/10.3389/fnagi.2023.1266955,amyloid positive emission tomography
102,https://doi.org/10.3389/fnagi.2023.1266955,mild cognitive impairment
102,https://doi.org/10.3389/fnagi.2023.1266955,mild dementia
102,https://doi.org/10.3389/fnagi.2023.1266955,amyloid PET study
102,https://doi.org/10.3389/fnagi.2023.1266955,for the Assessment of Neuropsychological Status
102,https://doi.org/10.3389/fnagi.2023.1266955,RBANS
102,https://doi.org/10.3389/fnagi.2023.1266955,beta diversity
102,https://doi.org/10.3389/fnagi.2023.1266955,patients
105,https://doi.org/10.1016/j.phrs.2023.106952,tryptophan metabolism
105,https://doi.org/10.1016/j.phrs.2023.106952,microbiota-gut-brain axis
105,https://doi.org/10.1016/j.phrs.2023.106952,Cognitive and psychiatric disorders
105,https://doi.org/10.1016/j.phrs.2023.106952,Cognitive disorders
