num_article,doi,term
1,https://doi.org/10.1002/jgh3.12450,Probiotics
1,https://doi.org/10.1002/jgh3.12450,gut-brain axis
1,https://doi.org/10.1002/jgh3.12450,Parkinson's disease
1,https://doi.org/10.1002/jgh3.12450,gut pathogens
1,https://doi.org/10.1002/jgh3.12450,dysbiosis
1,https://doi.org/10.1002/jgh3.12450,neurodegenerative process
1,https://doi.org/10.1002/jgh3.12450,preclinical and clinical studies
1,https://doi.org/10.1002/jgh3.12450,preclinical studies
1,https://doi.org/10.1002/jgh3.12450,clinical studies
1,https://doi.org/10.1002/jgh3.12450,fecal short-chain fatty acids
1,https://doi.org/10.1002/jgh3.12450,microbial-directed therapies
1,https://doi.org/10.1002/jgh3.12450,Probiotic supplementation
1,https://doi.org/10.1002/jgh3.12450,microbiome
1,https://doi.org/10.1002/jgh3.12450,host
1,https://doi.org/10.1002/jgh3.12450,PD
1,https://doi.org/10.1002/jgh3.12450,treatment
1,https://doi.org/10.1002/jgh3.12450,constipation
1,https://doi.org/10.1002/jgh3.12450,motor disability
1,https://doi.org/10.1002/jgh3.12450,animal and human studies
1,https://doi.org/10.1002/jgh3.12450,animal studies
1,https://doi.org/10.1002/jgh3.12450,human studies
100,https://doi.org/10.1007/s12264-021-00730-8,Gut Microbiome
100,https://doi.org/10.1007/s12264-021-00730-8,physiology
100,https://doi.org/10.1007/s12264-021-00730-8,microbiome-based therapies
100,https://doi.org/10.1007/s12264-021-00730-8,health
100,https://doi.org/10.1007/s12264-021-00730-8,treat
100,https://doi.org/10.1007/s12264-021-00730-8,Alzheimer's disease
100,https://doi.org/10.1007/s12264-021-00730-8,intestinal microbiota
100,https://doi.org/10.1007/s12264-021-00730-8,neurodegenerative diseases
104,https://doi.org/10.1038/s41396-021-01016-7,Graves' disease
104,https://doi.org/10.1038/s41396-021-01016-7,gut microbiome
104,https://doi.org/10.1038/s41396-021-01016-7,autoimmune disease
104,https://doi.org/10.1038/s41396-021-01016-7,gut microbiomes
104,https://doi.org/10.1038/s41396-021-01016-7,patients
104,https://doi.org/10.1038/s41396-021-01016-7,metagenome-assembled genomes
104,https://doi.org/10.1038/s41396-021-01016-7,genes
104,https://doi.org/10.1038/s41396-021-01016-7,biomarkers
104,https://doi.org/10.1038/s41396-021-01016-7,diagnostics
105,https://doi.org/10.1177/17590914211016217,Gut Microbiota
105,https://doi.org/10.1177/17590914211016217,Parkinson's disease
105,https://doi.org/10.1177/17590914211016217,neurodegenerative diseases
105,https://doi.org/10.1177/17590914211016217,PD
