num_article;doi;term
2;https://doi.org/10.1016/j.nut.2024.112369;Ruminococcaceae Incertae Sedis
2;https://doi.org/10.1016/j.nut.2024.112369;Ruminococcaceae Incertae Sedis
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;clinical outcomes
2;https://doi.org/10.1016/j.nut.2024.112369;clinical outcomes
2;https://doi.org/10.1016/j.nut.2024.112369;clinical outcomes
2;https://doi.org/10.1016/j.nut.2024.112369;clinical outcomes
2;https://doi.org/10.1016/j.nut.2024.112369;16S rRNA gene-sequenced gut microbiota data
2;https://doi.org/10.1016/j.nut.2024.112369;Differential abundance of Lachnospiraceae NK4A136 group
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbiota profile of patients
2;https://doi.org/10.1016/j.nut.2024.112369;important predictors of critical care
2;https://doi.org/10.1016/j.nut.2024.112369;Shannon P
2;https://doi.org/10.1016/j.nut.2024.112369;Shannon P
2;https://doi.org/10.1016/j.nut.2024.112369;overall composition
2;https://doi.org/10.1016/j.nut.2024.112369;overall composition
2;https://doi.org/10.1016/j.nut.2024.112369;older adults
2;https://doi.org/10.1016/j.nut.2024.112369;older adults
2;https://doi.org/10.1016/j.nut.2024.112369;substantial gut microbial disturbances
2;https://doi.org/10.1016/j.nut.2024.112369;association of malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;different microbiota composition
2;https://doi.org/10.1016/j.nut.2024.112369;Gut microbiota disturbances
2;https://doi.org/10.1016/j.nut.2024.112369;h of hospitalization
2;https://doi.org/10.1016/j.nut.2024.112369;secondary longitudinal analysis
2;https://doi.org/10.1016/j.nut.2024.112369;worse clinical outcomes
2;https://doi.org/10.1016/j.nut.2024.112369;Microbiota features
2;https://doi.org/10.1016/j.nut.2024.112369;muscular health
2;https://doi.org/10.1016/j.nut.2024.112369;poorer α-diversity
2;https://doi.org/10.1016/j.nut.2024.112369;severe stage
2;https://doi.org/10.1016/j.nut.2024.112369;Faecalibacterium prausnitzii
2;https://doi.org/10.1016/j.nut.2024.112369;geriatric patients
2;https://doi.org/10.1016/j.nut.2024.112369;threatening conditions
2;https://doi.org/10.1016/j.nut.2024.112369;differential abundance
2;https://doi.org/10.1016/j.nut.2024.112369;disease-related malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;Simpson P
2;https://doi.org/10.1016/j.nut.2024.112369;geriatric populations
2;https://doi.org/10.1016/j.nut.2024.112369;severe malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;Chao1 P
2;https://doi.org/10.1016/j.nut.2024.112369;prospective cohort
2;https://doi.org/10.1016/j.nut.2024.112369;ANOSIM R
2;https://doi.org/10.1016/j.nut.2024.112369;important role
2;https://doi.org/10.1016/j.nut.2024.112369;Microbiota diversity
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;hospitalization
2;https://doi.org/10.1016/j.nut.2024.112369;hospitalization
2;https://doi.org/10.1016/j.nut.2024.112369;hospitalization
2;https://doi.org/10.1016/j.nut.2024.112369;Incertae Sedis
2;https://doi.org/10.1016/j.nut.2024.112369;Incertae Sedis
2;https://doi.org/10.1016/j.nut.2024.112369;Corynebacterium
2;https://doi.org/10.1016/j.nut.2024.112369;Corynebacterium
2;https://doi.org/10.1016/j.nut.2024.112369;admission
2;https://doi.org/10.1016/j.nut.2024.112369;admission
2;https://doi.org/10.1016/j.nut.2024.112369;patients
2;https://doi.org/10.1016/j.nut.2024.112369;patients
2;https://doi.org/10.1016/j.nut.2024.112369;METHODS
2;https://doi.org/10.1016/j.nut.2024.112369;interplay
2;https://doi.org/10.1016/j.nut.2024.112369;host
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbial disturbances
2;https://doi.org/10.1016/j.nut.2024.112369;Lachnospiraceae NK4A136 group
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbiota data
2;https://doi.org/10.1016/j.nut.2024.112369;microbiota composition
2;https://doi.org/10.1016/j.nut.2024.112369;NK4A136 group
2;https://doi.org/10.1016/j.nut.2024.112369;follow-up
2;https://doi.org/10.1016/j.nut.2024.112369;Patients
2;https://doi.org/10.1016/j.nut.2024.112369;rRNA gene-sequenced gut microbiota data
2;https://doi.org/10.1016/j.nut.2024.112369;Differential abundance
2;https://doi.org/10.1016/j.nut.2024.112369;profile of patients
2;https://doi.org/10.1016/j.nut.2024.112369;microbial disturbances
2;https://doi.org/10.1016/j.nut.2024.112369;predictors of critical care
2;https://doi.org/10.1016/j.nut.2024.112369;longitudinal analysis
2;https://doi.org/10.1016/j.nut.2024.112369;critical care
2;https://doi.org/10.1016/j.nut.2024.112369;Subdoligranulum
2;https://doi.org/10.1016/j.nut.2024.112369;gene-sequenced gut microbiota data
2;https://doi.org/10.1016/j.nut.2024.112369;Fusobacterium
2;https://doi.org/10.1016/j.nut.2024.112369;Gut microbiota
3;https://doi.org/10.1111/jnc.16121;ion channels
3;https://doi.org/10.1111/jnc.16121;ion channels
3;https://doi.org/10.1111/jnc.16121;ion channels
3;https://doi.org/10.1111/jnc.16121;understanding of genetic causes of epilepsy
3;https://doi.org/10.1111/jnc.16121;last few decades epilepsy patients
3;https://doi.org/10.1111/jnc.16121;identification of precision medicine approaches
3;https://doi.org/10.1111/jnc.16121;understanding of the genotype-phenotype relationships
3;https://doi.org/10.1111/jnc.16121;Journal of Neurochemistry Special Issue
3;https://doi.org/10.1111/jnc.16121;genetic epilepsy
3;https://doi.org/10.1111/jnc.16121;genetic epilepsy
3;https://doi.org/10.1111/jnc.16121;standard of care treatments
3;https://doi.org/10.1111/jnc.16121;part of this edition
3;https://doi.org/10.1111/jnc.16121;clear unmet clinical need
3;https://doi.org/10.1111/jnc.16121;addition of numerous therapeutics
3;https://doi.org/10.1111/jnc.16121;importance of new research
3;https://doi.org/10.1111/jnc.16121;NMDA receptor dysfunction
3;https://doi.org/10.1111/jnc.16121;pathogenesis of epilepsy
3;https://doi.org/10.1111/jnc.16121;fundamental research manuscripts
3;https://doi.org/10.1111/jnc.16121;novel anti-seizure drugs
3;https://doi.org/10.1111/jnc.16121;recent research gains
