num_article;doi;term
2;https://doi.org/10.1016/j.nut.2024.112369;Gut microbiota disturbances
2;https://doi.org/10.1016/j.nut.2024.112369;Gut microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;hospitalized
2;https://doi.org/10.1016/j.nut.2024.112369;older adults
2;https://doi.org/10.1016/j.nut.2024.112369;adults
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;clinical
2;https://doi.org/10.1016/j.nut.2024.112369;Malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;one
2;https://doi.org/10.1016/j.nut.2024.112369;most
2;https://doi.org/10.1016/j.nut.2024.112369;conditions
2;https://doi.org/10.1016/j.nut.2024.112369;geriatric
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;host's metabolic and muscular health
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;disease
2;https://doi.org/10.1016/j.nut.2024.112369;related
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;well
2;https://doi.org/10.1016/j.nut.2024.112369;association
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;predict clinical outcomes
2;https://doi.org/10.1016/j.nut.2024.112369;predict clinical
2;https://doi.org/10.1016/j.nut.2024.112369;predict
2;https://doi.org/10.1016/j.nut.2024.112369;clinical
2;https://doi.org/10.1016/j.nut.2024.112369;hospitalized
2;https://doi.org/10.1016/j.nut.2024.112369;ill
2;https://doi.org/10.1016/j.nut.2024.112369;older adults
2;https://doi.org/10.1016/j.nut.2024.112369;adults
2;https://doi.org/10.1016/j.nut.2024.112369;longitudinal analysis
2;https://doi.org/10.1016/j.nut.2024.112369;geriatric
2;https://doi.org/10.1016/j.nut.2024.112369;geriatric patients
2;https://doi.org/10.1016/j.nut.2024.112369;patients
2;https://doi.org/10.1016/j.nut.2024.112369;cohort
2;https://doi.org/10.1016/j.nut.2024.112369;admission
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;hospitalization
2;https://doi.org/10.1016/j.nut.2024.112369;collected clinical
2;https://doi.org/10.1016/j.nut.2024.112369;clinical
2;https://doi.org/10.1016/j.nut.2024.112369;demographic
2;https://doi.org/10.1016/j.nut.2024.112369;nutritional
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;16S rRNA gene
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;Microbiota diversity
2;https://doi.org/10.1016/j.nut.2024.112369;Microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;overall composition
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;differential abundance
2;https://doi.org/10.1016/j.nut.2024.112369;abundance
2;https://doi.org/10.1016/j.nut.2024.112369;calculated
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;patients
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;Microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;predict clinical outcomes
2;https://doi.org/10.1016/j.nut.2024.112369;predict clinical
2;https://doi.org/10.1016/j.nut.2024.112369;predict
2;https://doi.org/10.1016/j.nut.2024.112369;clinical
2;https://doi.org/10.1016/j.nut.2024.112369;Patients
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;51%
2;https://doi.org/10.1016/j.nut.2024.112369;microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;microbiota composition
2;https://doi.org/10.1016/j.nut.2024.112369;well
2;https://doi.org/10.1016/j.nut.2024.112369;nourished
2;https://doi.org/10.1016/j.nut.2024.112369;hospitalization
2;https://doi.org/10.1016/j.nut.2024.112369;ANOSIM R
2;https://doi.org/10.1016/j.nut.2024.112369;0.079
2;https://doi.org/10.1016/j.nut.2024.112369;P = 0.003
2;https://doi.org/10.1016/j.nut.2024.112369;Patients
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;α-diversity
2;https://doi.org/10.1016/j.nut.2024.112369;admission
2;https://doi.org/10.1016/j.nut.2024.112369;Shannon P
2;https://doi.org/10.1016/j.nut.2024.112369;0.012
2;https://doi.org/10.1016/j.nut.2024.112369;Simpson P
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;follow-up
2;https://doi.org/10.1016/j.nut.2024.112369;Shannon P
2;https://doi.org/10.1016/j.nut.2024.112369;Chao1 P = 0.008
2;https://doi.org/10.1016/j.nut.2024.112369;Differential abundance
2;https://doi.org/10.1016/j.nut.2024.112369;abundance
2;https://doi.org/10.1016/j.nut.2024.112369;Lachnospiraceae NK4A136 group
2;https://doi.org/10.1016/j.nut.2024.112369;Subdoligranulum
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;Faecalibacterium prausnitzii
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;and inversely
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;Corynebacterium
2;https://doi.org/10.1016/j.nut.2024.112369;Ruminococcaceae Incertae Sedis
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;Fusobacterium
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;positively
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;Corynebacterium
2;https://doi.org/10.1016/j.nut.2024.112369;Ruminococcaceae Incertae Sedis
2;https://doi.org/10.1016/j.nut.2024.112369;and
2;https://doi.org/10.1016/j.nut.2024.112369;overall composition
2;https://doi.org/10.1016/j.nut.2024.112369;predictors
2;https://doi.org/10.1016/j.nut.2024.112369;critical
2;https://doi.org/10.1016/j.nut.2024.112369;patients
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;hospitalization
2;https://doi.org/10.1016/j.nut.2024.112369;Older adults
2;https://doi.org/10.1016/j.nut.2024.112369;adults
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;stage
2;https://doi.org/10.1016/j.nut.2024.112369;subject
2;https://doi.org/10.1016/j.nut.2024.112369;substantial gut microbial disturbances
2;https://doi.org/10.1016/j.nut.2024.112369;hospitalization
2;https://doi.org/10.1016/j.nut.2024.112369;gut microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;microbiota
2;https://doi.org/10.1016/j.nut.2024.112369;patients
2;https://doi.org/10.1016/j.nut.2024.112369;malnutrition
2;https://doi.org/10.1016/j.nut.2024.112369;predict
2;https://doi.org/10.1016/j.nut.2024.112369;clinical
3;https://doi.org/10.1111/jnc.16121;Preface
3;https://doi.org/10.1111/jnc.16121;Special
3;https://doi.org/10.1111/jnc.16121;issue
3;https://doi.org/10.1111/jnc.16121;Ion
3;https://doi.org/10.1111/jnc.16121;and genetic epilepsy
3;https://doi.org/10.1111/jnc.16121;and
3;https://doi.org/10.1111/jnc.16121;genetic epilepsy
3;https://doi.org/10.1111/jnc.16121;genetic
3;https://doi.org/10.1111/jnc.16121;epilepsy
3;https://doi.org/10.1111/jnc.16121;preface
3;https://doi.org/10.1111/jnc.16121;Journal
3;https://doi.org/10.1111/jnc.16121;Neurochemistry Special Issue
3;https://doi.org/10.1111/jnc.16121;Special
3;https://doi.org/10.1111/jnc.16121;Issue
3;https://doi.org/10.1111/jnc.16121;Advances
3;https://doi.org/10.1111/jnc.16121;Epilepsy
3;https://doi.org/10.1111/jnc.16121;Epilepsy
3;https://doi.org/10.1111/jnc.16121;disease
3;https://doi.org/10.1111/jnc.16121;recurrent
3;https://doi.org/10.1111/jnc.16121;Despite
3;https://doi.org/10.1111/jnc.16121;addition
3;https://doi.org/10.1111/jnc.16121;numerous therapeutics
3;https://doi.org/10.1111/jnc.16121;decades epilepsy patients
3;https://doi.org/10.1111/jnc.16121;epilepsy
3;https://doi.org/10.1111/jnc.16121;treatments
3;https://doi.org/10.1111/jnc.16121;unmet clinical need
3;https://doi.org/10.1111/jnc.16121;and
3;https://doi.org/10.1111/jnc.16121;new
3;https://doi.org/10.1111/jnc.16121;disease
3;https://doi.org/10.1111/jnc.16121;advance
3;https://doi.org/10.1111/jnc.16121;two decades
3;https://doi.org/10.1111/jnc.16121;genetic factors
3;https://doi.org/10.1111/jnc.16121;genetic
3;https://doi.org/10.1111/jnc.16121;pathogenesis
3;https://doi.org/10.1111/jnc.16121;epilepsy
3;https://doi.org/10.1111/jnc.16121;insights
3;https://doi.org/10.1111/jnc.16121;pathogenic mechanisms
3;https://doi.org/10.1111/jnc.16121;genetic epilepsy
3;https://doi.org/10.1111/jnc.16121;genetic
3;https://doi.org/10.1111/jnc.16121;epilepsy
3;https://doi.org/10.1111/jnc.16121;come
3;https://doi.org/10.1111/jnc.16121;genes
3;https://doi.org/10.1111/jnc.16121;encode ion
3;https://doi.org/10.1111/jnc.16121;ion
3;https://doi.org/10.1111/jnc.16121;issue
3;https://doi.org/10.1111/jnc.16121;there
3;https://doi.org/10.1111/jnc.16121;up
3;https://doi.org/10.1111/jnc.16121;date
3;https://doi.org/10.1111/jnc.16121;discussing epilepsy
3;https://doi.org/10.1111/jnc.16121;epilepsy
3;https://doi.org/10.1111/jnc.16121;variation
3;https://doi.org/10.1111/jnc.16121;HCN
3;https://doi.org/10.1111/jnc.16121;voltage
3;https://doi.org/10.1111/jnc.16121;dependent sodium channels
3;https://doi.org/10.1111/jnc.16121;voltage
3;https://doi.org/10.1111/jnc.16121;dependent calcium channels
3;https://doi.org/10.1111/jnc.16121;and GABAA
3;https://doi.org/10.1111/jnc.16121;and
3;https://doi.org/10.1111/jnc.16121;genotype
3;https://doi.org/10.1111/jnc.16121;phenotype relationships
3;https://doi.org/10.1111/jnc.16121;and
3;https://doi.org/10.1111/jnc.16121;identification
3;https://doi.org/10.1111/jnc.16121;precision medicine
3;https://doi.org/10.1111/jnc.16121;metabolic aspects
3;https://doi.org/10.1111/jnc.16121;ion
3;https://doi.org/10.1111/jnc.16121;genetic disease
3;https://doi.org/10.1111/jnc.16121;genetic
3;https://doi.org/10.1111/jnc.16121;disease
3;https://doi.org/10.1111/jnc.16121;issue
3;https://doi.org/10.1111/jnc.16121;fundamental
3;https://doi.org/10.1111/jnc.16121;currently
3;https://doi.org/10.1111/jnc.16121;drugs
3;https://doi.org/10.1111/jnc.16121;NMDA receptor dysfunction
3;https://doi.org/10.1111/jnc.16121;and
3;https://doi.org/10.1111/jnc.16121;vitro neuron cultures
3;https://doi.org/10.1111/jnc.16121;probe network
3;https://doi.org/10.1111/jnc.16121;deficits
3;https://doi.org/10.1111/jnc.16121;and
3;https://doi.org/10.1111/jnc.16121;drug
3;https://doi.org/10.1111/jnc.16121;SCN2A disease
3;https://doi.org/10.1111/jnc.16121;disease
3;https://doi.org/10.1111/jnc.16121;primary data
3;https://doi.org/10.1111/jnc.16121;focusing
3;https://doi.org/10.1111/jnc.16121;metabolic therapies
3;https://doi.org/10.1111/jnc.16121;gut microbiota
3;https://doi.org/10.1111/jnc.16121;and
3;https://doi.org/10.1111/jnc.16121;new
3;https://doi.org/10.1111/jnc.16121;vivo
3;https://doi.org/10.1111/jnc.16121;novel anti-
3;https://doi.org/10.1111/jnc.16121;drugs
3;https://doi.org/10.1111/jnc.16121;part
3;https://doi.org/10.1111/jnc.16121;edition highlight
3;https://doi.org/10.1111/jnc.16121;gains
3;https://doi.org/10.1111/jnc.16121;genetic
3;https://doi.org/10.1111/jnc.16121;epilepsy
3;https://doi.org/10.1111/jnc.16121;ion
5;https://doi.org/10.1128/msystems.00185-24;Association
5;https://doi.org/10.1128/msystems.00185-24;gut microbiota dysbiosis
5;https://doi.org/10.1128/msystems.00185-24;gut microbiota
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;functional outcomes
5;https://doi.org/10.1128/msystems.00185-24;functional
5;https://doi.org/10.1128/msystems.00185-24;outcomes
5;https://doi.org/10.1128/msystems.00185-24;acute
5;https://doi.org/10.1128/msystems.00185-24;acute ischemic stroke
5;https://doi.org/10.1128/msystems.00185-24;stroke patients
5;https://doi.org/10.1128/msystems.00185-24;stroke
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;Acute
5;https://doi.org/10.1128/msystems.00185-24;Acute ischemic stroke
5;https://doi.org/10.1128/msystems.00185-24;stroke
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;symptoms
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;worse
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;gut microbiota dysbiosis
5;https://doi.org/10.1128/msystems.00185-24;gut microbiota
5;https://doi.org/10.1128/msystems.00185-24;risk factor
5;https://doi.org/10.1128/msystems.00185-24;outcomes
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;AIS patients
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;However
5;https://doi.org/10.1128/msystems.00185-24;association
5;https://doi.org/10.1128/msystems.00185-24;gut microbiota
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;functional outcomes
5;https://doi.org/10.1128/msystems.00185-24;functional
5;https://doi.org/10.1128/msystems.00185-24;outcomes
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;AIS patients
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;study
5;https://doi.org/10.1128/msystems.00185-24;16S rRNA gene
5;https://doi.org/10.1128/msystems.00185-24;characterize
5;https://doi.org/10.1128/msystems.00185-24;gut microbial community
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;AIS patients
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;acute
5;https://doi.org/10.1128/msystems.00185-24;acute COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;acute COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;AIS patients
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;post
5;https://doi.org/10.1128/msystems.00185-24;acute
5;https://doi.org/10.1128/msystems.00185-24;acute COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;acute COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;and AIS patients
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;AIS patients
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;AIS patients
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;acute
5;https://doi.org/10.1128/msystems.00185-24;acute COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;gut dysbiosis
5;https://doi.org/10.1128/msystems.00185-24;characterized
5;https://doi.org/10.1128/msystems.00185-24;Enterobacteriaceae
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;Ruminococcaceae and Lachnospiraceae
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;Furthermore
5;https://doi.org/10.1128/msystems.00185-24;time
5;https://doi.org/10.1128/msystems.00185-24;less
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;stroke
5;https://doi.org/10.1128/msystems.00185-24;risk factor
5;https://doi.org/10.1128/msystems.00185-24;functional outcomes
5;https://doi.org/10.1128/msystems.00185-24;functional
5;https://doi.org/10.1128/msystems.00185-24;outcomes
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;AIS patients
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;enrichment
5;https://doi.org/10.1128/msystems.00185-24;Enterobacteriaceae
5;https://doi.org/10.1128/msystems.00185-24;mediator
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;infection time
5;https://doi.org/10.1128/msystems.00185-24;time
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;stroke
5;https://doi.org/10.1128/msystems.00185-24;outcomes
5;https://doi.org/10.1128/msystems.00185-24;intervention
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;regulating
5;https://doi.org/10.1128/msystems.00185-24;gut microbiota
5;https://doi.org/10.1128/msystems.00185-24;role
5;https://doi.org/10.1128/msystems.00185-24;prognosis
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;AIS patients
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;gut microbiota
5;https://doi.org/10.1128/msystems.00185-24;role
5;https://doi.org/10.1128/msystems.00185-24;association
5;https://doi.org/10.1128/msystems.00185-24;respiratory system
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;cerebrovascular system
5;https://doi.org/10.1128/msystems.00185-24;gut-lung axis
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;gut-brain axis
5;https://doi.org/10.1128/msystems.00185-24;However
5;https://doi.org/10.1128/msystems.00185-24;connection
5;https://doi.org/10.1128/msystems.00185-24;gut bacteria
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;functional outcomes
5;https://doi.org/10.1128/msystems.00185-24;functional
5;https://doi.org/10.1128/msystems.00185-24;outcomes
5;https://doi.org/10.1128/msystems.00185-24;acute
5;https://doi.org/10.1128/msystems.00185-24;acute ischemic stroke
5;https://doi.org/10.1128/msystems.00185-24;stroke
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;study
5;https://doi.org/10.1128/msystems.00185-24;decrease
5;https://doi.org/10.1128/msystems.00185-24;bacterial diversity and shifts
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;abundance
5;https://doi.org/10.1128/msystems.00185-24;bacterial families
5;https://doi.org/10.1128/msystems.00185-24;AIS
5;https://doi.org/10.1128/msystems.00185-24;AIS patients
5;https://doi.org/10.1128/msystems.00185-24;patients
5;https://doi.org/10.1128/msystems.00185-24;acute
5;https://doi.org/10.1128/msystems.00185-24;acute COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;acute COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19
5;https://doi.org/10.1128/msystems.00185-24;COVID-19 infection
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;Furthermore
5;https://doi.org/10.1128/msystems.00185-24;time
5;https://doi.org/10.1128/msystems.00185-24;stroke
5;https://doi.org/10.1128/msystems.00185-24;outcomes
5;https://doi.org/10.1128/msystems.00185-24;and
5;https://doi.org/10.1128/msystems.00185-24;enrichment
5;https://doi.org/10.1128/msystems.00185-24;Enterobacteriaceae
5;https://doi.org/10.1128/msystems.00185-24;mediator
5;https://doi.org/10.1128/msystems.00185-24;infection
5;https://doi.org/10.1128/msystems.00185-24;infection time
5;https://doi.org/10.1128/msystems.00185-24;time
5;https://doi.org/10.1128/msystems.00185-24;and
