num_article;doi;term
1;https://doi.org/10.1002/jgh3.12450;diverse functions of these live microorganisms
1;https://doi.org/10.1002/jgh3.12450;potential neuroprotective effects of probiotics
1;https://doi.org/10.1002/jgh3.12450;mechanisms of actions of probiotics
1;https://doi.org/10.1002/jgh3.12450;inhibition of pathogen colonization
1;https://doi.org/10.1002/jgh3.12450;variety of health benefits
1;https://doi.org/10.1002/jgh3.12450;PD animal model studies
1;https://doi.org/10.1002/jgh3.12450;host epithelial barrier function
1;https://doi.org/10.1002/jgh3.12450;fecal short-chain fatty acids
1;https://doi.org/10.1002/jgh3.12450;effects of probiotics
1;https://doi.org/10.1002/jgh3.12450;effects of probiotics
1;https://doi.org/10.1002/jgh3.12450;dopaminergic neuronal degeneration
1;https://doi.org/10.1002/jgh3.12450;potential therapeutic options
1;https://doi.org/10.1002/jgh3.12450;individual host profiles
1;https://doi.org/10.1002/jgh3.12450;peripheral inflammatory states
1;https://doi.org/10.1002/jgh3.12450;downstream metabolic effects
1;https://doi.org/10.1002/jgh3.12450;PD drug absorption
1;https://doi.org/10.1002/jgh3.12450;altered gut microbiome
1;https://doi.org/10.1002/jgh3.12450;clinical studies
1;https://doi.org/10.1002/jgh3.12450;future directions
1;https://doi.org/10.1002/jgh3.12450;probiotic therapy
1;https://doi.org/10.1002/jgh3.12450;immunomodulatory effects
1;https://doi.org/10.1002/jgh3.12450;motor disability
1;https://doi.org/10.1002/jgh3.12450;PD aspects
1;https://doi.org/10.1002/jgh3.12450;Probiotic supplementation
1;https://doi.org/10.1002/jgh3.12450;gut pathogens
1;https://doi.org/10.1002/jgh3.12450;long-term efficacy
1;https://doi.org/10.1002/jgh3.12450;targeted animal
1;https://doi.org/10.1002/jgh3.12450;gut-brain axis
1;https://doi.org/10.1002/jgh3.12450;cognitive function
1;https://doi.org/10.1002/jgh3.12450;human studies
1;https://doi.org/10.1002/jgh3.12450;intestinal inflammation
1;https://doi.org/10.1002/jgh3.12450;hot topic
1;https://doi.org/10.1002/jgh3.12450;microbial-directed therapies
1;https://doi.org/10.1002/jgh3.12450;patient outcomes
1;https://doi.org/10.1002/jgh3.12450;intestinal permeability
1;https://doi.org/10.1002/jgh3.12450;neurodegenerative process
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;Parkinson
1;https://doi.org/10.1002/jgh3.12450;Parkinson
1;https://doi.org/10.1002/jgh3.12450;Probiotics
1;https://doi.org/10.1002/jgh3.12450;inflammation
1;https://doi.org/10.1002/jgh3.12450;constipation
1;https://doi.org/10.1002/jgh3.12450;live microorganisms
1;https://doi.org/10.1002/jgh3.12450;neuronal degeneration
1;https://doi.org/10.1002/jgh3.12450;therapeutic options
1;https://doi.org/10.1002/jgh3.12450;metabolic effects
