num_article;doi;term
1;https://doi.org/10.1002/jgh3.12450;Probiotics
1;https://doi.org/10.1002/jgh3.12450;Parkinson's disease
1;https://doi.org/10.1002/jgh3.12450;gut-brain axis
1;https://doi.org/10.1002/jgh3.12450;gut
1;https://doi.org/10.1002/jgh3.12450;Parkinson's disease
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;gut pathogens
1;https://doi.org/10.1002/jgh3.12450;gut
1;https://doi.org/10.1002/jgh3.12450;dysbiosis
1;https://doi.org/10.1002/jgh3.12450;peripheral inflammatory states
1;https://doi.org/10.1002/jgh3.12450;metabolic effects
1;https://doi.org/10.1002/jgh3.12450;effects
1;https://doi.org/10.1002/jgh3.12450;neurodegenerative process
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;preclinical and clinical studies
1;https://doi.org/10.1002/jgh3.12450;intestinal permeability
1;https://doi.org/10.1002/jgh3.12450;intestinal inflammation
1;https://doi.org/10.1002/jgh3.12450;inflammation
1;https://doi.org/10.1002/jgh3.12450;gut microbiome
1;https://doi.org/10.1002/jgh3.12450;gut
1;https://doi.org/10.1002/jgh3.12450;microbiome
1;https://doi.org/10.1002/jgh3.12450;fecal short-chain fatty acids
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;microbial
1;https://doi.org/10.1002/jgh3.12450;directed therapies
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;potential
1;https://doi.org/10.1002/jgh3.12450;Probiotic supplementation
1;https://doi.org/10.1002/jgh3.12450;Probiotic
1;https://doi.org/10.1002/jgh3.12450;due
1;https://doi.org/10.1002/jgh3.12450;diverse functions
1;https://doi.org/10.1002/jgh3.12450;functions
1;https://doi.org/10.1002/jgh3.12450;live microorganisms
1;https://doi.org/10.1002/jgh3.12450;pathogen colonization
1;https://doi.org/10.1002/jgh3.12450;microbiome
1;https://doi.org/10.1002/jgh3.12450;function
1;https://doi.org/10.1002/jgh3.12450;immunomodulatory effects
1;https://doi.org/10.1002/jgh3.12450;effects
1;https://doi.org/10.1002/jgh3.12450;inflammation
1;https://doi.org/10.1002/jgh3.12450;host epithelial barrier
1;https://doi.org/10.1002/jgh3.12450;function
1;https://doi.org/10.1002/jgh3.12450;several PD animal model
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;potential
1;https://doi.org/10.1002/jgh3.12450;neuroprotective
1;https://doi.org/10.1002/jgh3.12450;effects
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;dopaminergic neuronal
1;https://doi.org/10.1002/jgh3.12450;randomized placebo
1;https://doi.org/10.1002/jgh3.12450;trials
1;https://doi.org/10.1002/jgh3.12450;class I
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;treatment
1;https://doi.org/10.1002/jgh3.12450;constipation
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;effects
1;https://doi.org/10.1002/jgh3.12450;probiotics
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;motor disability
1;https://doi.org/10.1002/jgh3.12450;cognitive function
1;https://doi.org/10.1002/jgh3.12450;function
1;https://doi.org/10.1002/jgh3.12450;long
1;https://doi.org/10.1002/jgh3.12450;efficacy
1;https://doi.org/10.1002/jgh3.12450;effects
1;https://doi.org/10.1002/jgh3.12450;PD
1;https://doi.org/10.1002/jgh3.12450;PD drug absorption
1;https://doi.org/10.1002/jgh3.12450;gut
1;https://doi.org/10.1002/jgh3.12450;not
