num_article;doi;term
1;10.1002/jgh3.12450;Probiotics      
1;10.1002/jgh3.12450;Parkinson's disease     
1;10.1002/jgh3.12450;PD      
1;10.1002/jgh3.12450;gut-brain axis     
1;10.1002/jgh3.12450;gut pathogens     
1;10.1002/jgh3.12450;dysbiosis      
1;10.1002/jgh3.12450;peripheral inflammatory states    
1;10.1002/jgh3.12450;neurodegenerative process     
1;10.1002/jgh3.12450;disrupted intestinal permeability    
1;10.1002/jgh3.12450;intestinal inflammation     
1;10.1002/jgh3.12450;altered gut microbiome    
1;10.1002/jgh3.12450;fecal short-chain fatty acids   
1;10.1002/jgh3.12450;microbial-directed therapies     
1;10.1002/jgh3.12450;probiotics      
1;10.1002/jgh3.12450;live microorganisms     
1;10.1002/jgh3.12450;pathogen colonization     
1;10.1002/jgh3.12450;microbiome      
1;10.1002/jgh3.12450;immunomodulatory effects     
1;10.1002/jgh3.12450;host epithelial barrier function   
1;10.1002/jgh3.12450;neuroprotective effects     
1;10.1002/jgh3.12450;dopaminergic neuronal degeneration    
1;10.1002/jgh3.12450;constipation      
1;10.1002/jgh3.12450;motor disability     
1;10.1002/jgh3.12450;cognitive function     
1;10.1002/jgh3.12450;PD drug absorption    
1;10.1002/jgh3.12450;probiotic therapy     
5;10.1186/s12915-020-00876-3;Gut bacterial deamination    
5;10.1186/s12915-020-00876-3;levodopa medication     
5;10.1186/s12915-020-00876-3;Parkinson's disease     
5;10.1186/s12915-020-00876-3;PD      
5;10.1186/s12915-020-00876-3;progressive neurodegenerative disorder    
5;10.1186/s12915-020-00876-3;motor symptoms     
5;10.1186/s12915-020-00876-3;non-motor symptoms     
5;10.1186/s12915-020-00876-3;Gastrointestinal tract dysfunction    
5;10.1186/s12915-020-00876-3;constipation      
5;10.1186/s12915-020-00876-3;Aromatic bacterial metabolites    
5;10.1186/s12915-020-00876-3;gut homeostasis     
5;10.1186/s12915-020-00876-3;Clostridium sporogenes     
5;10.1186/s12915-020-00876-3;bioactive metabolites     
5;10.1186/s12915-020-00876-3;C. sporogenes     
5;10.1186/s12915-020-00876-3;deaminates levodopa     
5;10.1186/s12915-020-00876-3;aromatic aminotransferase     
5;10.1186/s12915-020-00876-3;deamination pathway     
5;10.1186/s12915-020-00876-3;deaminated metabolite     
5;10.1186/s12915-020-00876-3;3-(3,4-dihydroxyphenyl)propionic acid     
5;10.1186/s12915-020-00876-3;ileal motility     
5;10.1186/s12915-020-00876-3;ex vivo model    
5;10.1186/s12915-020-00876-3;fecal samples     
5;10.1186/s12915-020-00876-3;gut microbiota     
5;10.1186/s12915-020-00876-3;stool samples     
5;10.1186/s12915-020-00876-3;gut bacterium     
5;10.1186/s12915-020-00876-3;metabolic pathways     
5;10.1186/s12915-020-00876-3;drug metabolism     
5;10.1186/s12915-020-00876-3;side effects     
5;10.1186/s12915-020-00876-3;bacterial breakdown products    
9;10.3389/fneur.2020.00849;Gut-Brain Axis     
9;10.3389/fneur.2020.00849;pathogenesis      
9;10.3389/fneur.2020.00849;Parkinson's Disease     
9;10.3389/fneur.2020.00849;gastrointestinal (GI) disorders    
9;10.3389/fneur.2020.00849;Parkinson's disease     
9;10.3389/fneur.2020.00849;PD      
9;10.3389/fneur.2020.00849;GI disorders     
9;10.3389/fneur.2020.00849;Gut-brain axis     
9;10.3389/fneur.2020.00849;pathogenesis of PD    
9;10.3389/fneur.2020.00849;pathophysiologic mechanism     
9;10.3389/fneur.2020.00849;genes      
9;10.3389/fneur.2020.00849;altered gut microbiota    
9;10.3389/fneur.2020.00849;diet      
9;10.3389/fneur.2020.00849;environmental toxins     
9;10.3389/fneur.2020.00849;altered mucosal immunity    
9;10.3389/fneur.2020.00849;dietary factors     
9;10.3389/fneur.2020.00849;microbiome      
9;10.3389/fneur.2020.00849;genetic factors     
9;10.3389/fneur.2020.00849;early diagnostic markers    
9;10.3389/fneur.2020.00849;diet modulation     
9;10.3389/fneur.2020.00849;gut microbiome     
