num_article,doi,term
1,https://doi.org/10.1016/j.psychres.2024.115914,antipsychotics
1,https://doi.org/10.1016/j.psychres.2024.115914,gastrointestinal microbiota
1,https://doi.org/10.1016/j.psychres.2024.115914,Antipsychotics
1,https://doi.org/10.1016/j.psychres.2024.115914,APs
1,https://doi.org/10.1016/j.psychres.2024.115914,psychiatric disorders
1,https://doi.org/10.1016/j.psychres.2024.115914,schizophrenia
1,https://doi.org/10.1016/j.psychres.2024.115914,drugs
1,https://doi.org/10.1016/j.psychres.2024.115914,side effects
1,https://doi.org/10.1016/j.psychres.2024.115914,weight gain
1,https://doi.org/10.1016/j.psychres.2024.115914,gut microbiota
1,https://doi.org/10.1016/j.psychres.2024.115914,GM
1,https://doi.org/10.1016/j.psychres.2024.115914,APs effects
1,https://doi.org/10.1016/j.psychres.2024.115914,GM
1,https://doi.org/10.1016/j.psychres.2024.115914,patients
1,https://doi.org/10.1016/j.psychres.2024.115914,treatment
1,https://doi.org/10.1016/j.psychres.2024.115914,risperidone
1,https://doi.org/10.1016/j.psychres.2024.115914,quetiapine
1,https://doi.org/10.1016/j.psychres.2024.115914,amilsupride
1,https://doi.org/10.1016/j.psychres.2024.115914,olanzapine
1,https://doi.org/10.1016/j.psychres.2024.115914,atypical drugs
1,https://doi.org/10.1016/j.psychres.2024.115914,GM
1,https://doi.org/10.1016/j.psychres.2024.115914,APs
1,https://doi.org/10.1016/j.psychres.2024.115914,abundance
1,https://doi.org/10.1016/j.psychres.2024.115914,metabolic parameters
1,https://doi.org/10.1016/j.psychres.2024.115914,APs
1,https://doi.org/10.1016/j.psychres.2024.115914,GM composition and diversity
1,https://doi.org/10.1016/j.psychres.2024.115914,microbiota
1,https://doi.org/10.1016/j.psychres.2024.115914,APs
1,https://doi.org/10.1016/j.psychres.2024.115914,treatment
1,https://doi.org/10.1016/j.psychres.2024.115914,side effects
1,https://doi.org/10.1016/j.psychres.2024.115914,treatment
4,https://doi.org/10.1016/j.cmet.2024.03.010,Gut bacteria-driven homovanillic acid
4,https://doi.org/10.1016/j.cmet.2024.03.010,depression
4,https://doi.org/10.1016/j.cmet.2024.03.010,synaptic integrity
4,https://doi.org/10.1016/j.cmet.2024.03.010,gut-brain axis
