num_article,doi,term
4,https://doi.org/10.3390/microorganisms8101612,Microbiome
4,https://doi.org/10.3390/microorganisms8101612,microbiome
4,https://doi.org/10.3390/microorganisms8101612,microbial community
4,https://doi.org/10.3390/microorganisms8101612,health
4,https://doi.org/10.3390/microorganisms8101612,16S rRNA technology
4,https://doi.org/10.3390/microorganisms8101612,personalized medicine
4,https://doi.org/10.3390/microorganisms8101612,patients stratification
4,https://doi.org/10.3390/microorganisms8101612,beta diversity measure
4,https://doi.org/10.3390/microorganisms8101612,sample stratification
4,https://doi.org/10.3390/microorganisms8101612,operational taxonomic unit
4,https://doi.org/10.3390/microorganisms8101612,OTU
4,https://doi.org/10.3390/microorganisms8101612,beta diversity measure
4,https://doi.org/10.3390/microorganisms8101612,Parkinson's diseases
6,https://doi.org/10.1186/s12911-020-01263-2,gut microbiome
6,https://doi.org/10.1186/s12911-020-01263-2,multiple sclerosis
6,https://doi.org/10.1186/s12911-020-01263-2,microbiome data sequencing techniques
6,https://doi.org/10.1186/s12911-020-01263-2,microbiome
6,https://doi.org/10.1186/s12911-020-01263-2,host
6,https://doi.org/10.1186/s12911-020-01263-2,organism
6,https://doi.org/10.1186/s12911-020-01263-2,bioinformatics
6,https://doi.org/10.1186/s12911-020-01263-2,microbiome
6,https://doi.org/10.1186/s12911-020-01263-2,microorganisms
6,https://doi.org/10.1186/s12911-020-01263-2,intestinal system
6,https://doi.org/10.1186/s12911-020-01263-2,conditions
6,https://doi.org/10.1186/s12911-020-01263-2,irritable bowel syndrome
6,https://doi.org/10.1186/s12911-020-01263-2,IBS
6,https://doi.org/10.1186/s12911-020-01263-2,colorectal cancer
6,https://doi.org/10.1186/s12911-020-01263-2,diabetes
6,https://doi.org/10.1186/s12911-020-01263-2,obesity
6,https://doi.org/10.1186/s12911-020-01263-2,metabolic syndrome
6,https://doi.org/10.1186/s12911-020-01263-2,Parkinson's and Alzheimer's diseases
6,https://doi.org/10.1186/s12911-020-01263-2,diagnosed
6,https://doi.org/10.1186/s12911-020-01263-2,multiple sclerosis
6,https://doi.org/10.1186/s12911-020-01263-2,multiple sclerosis
6,https://doi.org/10.1186/s12911-020-01263-2,MS
6,https://doi.org/10.1186/s12911-020-01263-2,autoimmune
6,https://doi.org/10.1186/s12911-020-01263-2,central nervous system disease
6,https://doi.org/10.1186/s12911-020-01263-2,samples
6,https://doi.org/10.1186/s12911-020-01263-2,16s rRNA sequencing technique
6,https://doi.org/10.1186/s12911-020-01263-2,MS
6,https://doi.org/10.1186/s12911-020-01263-2,samples
6,https://doi.org/10.1186/s12911-020-01263-2,sequenced
6,https://doi.org/10.1186/s12911-020-01263-2,sequences
6,https://doi.org/10.1186/s12911-020-01263-2,healthy control
6,https://doi.org/10.1186/s12911-020-01263-2,sequences
6,https://doi.org/10.1186/s12911-020-01263-2,bacteria
6,https://doi.org/10.1186/s12911-020-01263-2,samples
6,https://doi.org/10.1186/s12911-020-01263-2,bacteria abundance
