num_article,doi
41,https://doi.org/10.1016/j.cmet.2019.07.005
88,https://doi.org/10.3390/ijms221810028
120,https://doi.org/10.1038/s41531-021-00156-z
138,https://doi.org/10.1515/revneuro-2020-0078
151,https://doi.org/10.1016/S0074-7742(22)00138-6
152,https://doi.org/10.1016/bs.irn.2022.07.006
205,https://doi.org/10.3233/JAD-215224
241,https://doi.org/10.1101/2023.12.01.569645
270,https://doi.org/10.1016/j.lfs.2023.122022
272,https://doi.org/10.1055/s-0043-1771463
275,https://doi.org/10.4103/1673-5374.373673
334,https://doi.org/10.1134/S0006297924030118
335,https://doi.org/10.1016/j.bbapap.2024.141018
369,https://doi.org/10.2174/1570159X20666221003085508
239,https://doi.org/10.3390/ijms25010124
123,https://doi.org/10.1007/s10571-021-01066-7
57,https://doi.org/10.3389/fnagi.2017.00441
165,https://doi.org/10.1016/j.arr.2022.101759
116,https://doi.org/10.1111/acel.13351
133,https://doi.org/10.1084/jem.20190086
40,https://doi.org/10.3389/fnins.2019.00839
65,https://doi.org/10.1007/s13365-015-0357-8
252,https://doi.org/10.3389/fimmu.2023.1228530
78,https://doi.org/10.7759/cureus.19035
79,https://doi.org/10.1016/j.parkreldis.2021.11.017
220,https://doi.org/10.1007/s40265-021-01664-1
235,https://doi.org/10.4103/1673-5374.391304
195,https://doi.org/10.1016/j.jare.2021.09.005
125,https://doi.org/10.1177/0964528421990658
44,https://doi.org/10.3389/fnagi.2019.00130
314,https://doi.org/10.1111/ene.15671
82,https://doi.org/10.3390/antiox10111823
332,https://doi.org/10.1038/s41598-024-59250-w
126,https://doi.org/10.1186/s40168-020-00988-6
246,https://doi.org/10.1101/2023.11.12.566429
59,https://doi.org/10.1038/s41540-017-0033-0
207,https://doi.org/10.3390/cells11060978
95,https://doi.org/10.3390/life11070698
303,https://doi.org/10.1111/ene.15767
26,https://doi.org/10.1016/j.apsb.2019.12.001
268,https://doi.org/10.1055/s-0043-1771459
10,https://doi.org/10.1371/journal.pone.0237779
99,https://doi.org/10.1177/08919887211018268
98,https://doi.org/10.3233/JPD-212707
367,https://doi.org/10.1016/j.pnpbp.2023.110861
163,https://doi.org/10.1111/cns.13990
221,https://doi.org/10.3389/fnagi.2021.782082
23,https://doi.org/10.18632/aging.102927
119,https://doi.org/10.3389/fimmu.2021.638867
257,https://doi.org/10.7150/thno.85711
58,https://doi.org/10.1111/jnc.14299
162,https://doi.org/10.1016/j.jare.2022.10.013
31,https://doi.org/10.1016/j.conb.2019.11.009
47,https://doi.org/10.14802/jmd.18067
106,https://doi.org/10.1186/s12859-021-04193-6
121,https://doi.org/10.3390/nu13030732
293,https://doi.org/10.1016/j.neuropharm.2023.109566
145,https://doi.org/10.3389/fimmu.2022.1043579
6,https://doi.org/10.1186/s12911-020-01263-2
230,https://doi.org/10.1007/s00415-021-10657-9
358,https://doi.org/10.3390/nu16020308
356,https://doi.org/10.1186/s40168-024-01748-6
213,https://doi.org/10.3390/brainsci12020143
177,https://doi.org/10.1016/j.taap.2022.116176
342,https://doi.org/10.1080/20002297.2024.2331264
168,https://doi.org/10.3233/JPD-223431
4,https://doi.org/10.3390/microorganisms8101612
115,https://doi.org/10.1007/s12035-021-02375-0
75,https://doi.org/10.3389/fnut.2021.782657
322,https://doi.org/10.1007/s12264-022-00934-6
360,https://doi.org/10.1016/j.jns.2024.122889
48,https://doi.org/10.1111/jcmm.14429
329,https://doi.org/10.3389/fphar.2024.1372110
76,https://doi.org/10.3390/jcm10235698
234,https://doi.org/10.1177/1073858421991066
175,https://doi.org/10.1186/s40168-022-01319-7
34,https://doi.org/10.1016/j.celrep.2019.10.035
325,https://doi.org/10.1007/s11481-021-10047-y
260,https://doi.org/10.1007/s00394-023-03247-0
81,https://doi.org/10.1136/gutjnl-2021-326023
167,https://doi.org/10.1038/s41531-022-00395-8
192,https://doi.org/10.1039/d2fo00552b
157,https://doi.org/10.3389/fnins.2022.1030694
280,https://doi.org/10.3390/neurolint15020047
345,https://doi.org/10.4103/1673-5374.391304
189,https://doi.org/10.3389/fnagi.2022.875261
357,https://doi.org/10.26508/lsa.202302529
86,https://doi.org/10.1093/braincomms/fcab113
17,https://doi.org/10.1186/s12883-020-01811-3
68,https://doi.org/10.1016/j.mito.2013.08.006
140,https://doi.org/10.1111/ejn.14952
8,https://doi.org/10.3390/molecules25194382
311,https://doi.org/10.1002/mds.29300
114,https://doi.org/10.1002/jgh3.12450
327,https://doi.org/10.1371/journal.pone.0303156
352,https://doi.org/10.1016/j.redox.2024.103092
89,https://doi.org/10.3390/ijms22189839
302,https://doi.org/10.1016/j.heliyon.2023.e14312
292,https://doi.org/10.1002/mds.29432
318,https://doi.org/10.1016/j.neuropharm.2022.109318
62,https://doi.org/10.1016/j.taap.2017.06.008
214,https://doi.org/10.1186/s12868-022-00694-z
261,https://doi.org/10.1007/s00253-023-12789-6
343,https://doi.org/10.1016/j.celrep.2024.113953
222,https://doi.org/10.3390/nu14020380
276,https://doi.org/10.1186/s13024-023-00628-1
18,https://doi.org/10.1186/s12915-020-00775-7
251,https://doi.org/10.1007/s12035-023-03691-3
25,https://doi.org/10.3390/cells9020376
324,https://doi.org/10.1080/07391102.2022.2068072
305,https://doi.org/10.5009/gnl220523
190,https://doi.org/10.1016/j.jbc.2022.102088
262,https://doi.org/10.1016/j.nbd.2023.106296
364,https://doi.org/10.4103/1673-5374.382223
209,https://doi.org/10.1016/j.nbd.2022.105695
131,https://doi.org/10.1186/s12974-020-02062-2
310,https://doi.org/10.1021/acschemneuro.2c00730
306,https://doi.org/10.1155/2023/5127157
233,https://doi.org/10.1007/s10571-021-01066-7
20,https://doi.org/10.3390/molecules25102444
148,https://doi.org/10.1016/j.arr.2022.101812
83,https://doi.org/10.1186/s40035-021-00272-z
240,https://doi.org/10.31083/j.jin2206157
19,https://doi.org/10.1080/14737175.2020.1775585
290,https://doi.org/10.3389/fimmu.2023.1154626
109,https://doi.org/10.1002/ana.26128
287,https://doi.org/10.3390/antiox12051117
32,https://doi.org/10.3389/fnins.2019.01032
267,https://doi.org/10.1080/19490976.2023.2249152
353,https://doi.org/10.1016/j.arr.2024.102236
182,https://doi.org/10.1007/s00281-022-00948-2
271,https://doi.org/10.3390/nu15153456
254,https://doi.org/10.1002/mds.29620
173,https://doi.org/10.1007/s12264-022-00934-6
193,https://doi.org/10.1038/s41531-022-00327-6
61,https://doi.org/10.18632/aging.101262
158,https://doi.org/10.1038/s41467-022-34667-x
309,https://doi.org/10.1038/s41598-023-29219-2
117,https://doi.org/10.3233/BPL-200104
147,https://doi.org/10.3389/fnins.2022.1048565
16,https://doi.org/10.3233/JPD-202085
155,https://doi.org/10.1016/j.mcna.2022.08.010
7,https://doi.org/10.1038/s41598-020-72903-w
266,https://doi.org/10.1007/s00115-023-01537-w
244,https://doi.org/10.20517/mrr.2023.24
11,https://doi.org/10.1016/j.chom.2020.06.008
187,https://doi.org/10.1177/00220345221102084
344,https://doi.org/10.1007/s10072-024-07467-y
85,https://doi.org/10.1016/j.biocel.2021.106113
191,https://doi.org/10.3389/fnagi.2022.881872
208,https://doi.org/10.1016/j.csbj.2022.02.024
183,https://doi.org/10.1038/s41582-022-00681-2
186,https://doi.org/10.3389/fmicb.2022.875101
