<Concept>,Intensional definition
<Microbiota>,"biota composed of microorganisms, including bacteria, virus, archaea and fungi, that exist in an organism"
<Gut microbiota>,microbiota that resides within the gut
<Microbiome>,"biome that consists of the microorganisms, their genomes (genes), and the surrounding environment where the microorganisms reside"
<Gut microbiome>,microbiome that resides within the gut
<Parkinson's disease>,"synucleinopathy, characterized by the loss of dopamine-producing and melanin-containing neurons in the substantia nigra, along with the presence of Lewy bodies in both the substantia nigra and locus coeruleus, with cardinal manifestations including bradykinesia"
<Alzheimer's disease>,"neurodegenerative disease of the brain, involving loss of function and death of nerve cells in several brain regions, leading to loss of cognitive function such as language, impairment of memory, judgment and attention span, apraxias and the onset of dementia"
<Bacterium>,"microorganism that is unicellular, prokaryotic, and reproduces by cell division"
<Disease>,pathological process with a characteristic set of signs and symptoms
<Disorder>,"condition that is abnormal, that affects the function of the body"
<Mood disorder>,"psychiatric disorder constituting a category of disorders, characterized by disturbance in mood as their predominant feature"
<Dysbiosis>,alteration consisting of a change in the quantitative and qualitative composition of the microbiota or microbiome
<Psychiatric disorder>,"mental disorder characterized by behavioral and/or psychological abnormalities, and significant disturbances in thinking and emotional regulation"
<Gut microbiome dysbiosis>,dysbiosis of the microbiome residing in the gut
<Neurodegeneration>,"degenerative process that is progressive, involving loss of structure and function of neurons"
<Brain>,"organ that is part of the central nervous system, contained within the skull, composed of gray and white matter"
<α-synuclein>,"synuclein, encoded by the human SNCA gene, that is a major component of Lewy bodies and is involved in synucleinopathies"
<Patient>,"human receiving medical attention, care, or treatment"
<Major depressive disorder>,"depressive disorder marked by at least one major depressive episode lasting a minimum of two weeks, involving clinically significant distress or impairment in relevant areas of functioning, with symptoms present nearly every day for at least two consecutive weeks"
<Human>,organism of the species Homo sapiens
<Side effect>,"effect of medical interventions, treatments, or pharmaceutical products that is unintended, usually negative but sometimes positive"
<Health>,"state of complete well-being of an organism, without evidence of disease"
<Adverse effect>,"effect caused by a medical product, intervention, or procedure that is unintended, and negatively impacts health"
<Fecal microbiota>,microbiota that resides in the feces
<Fecal microbiota transplantation>,transplantation of fecal microbiota from a healthy individual to a recipient
<Axis>,"network involving an interaction or communication among entities that can be microbiotas, microbiomes, or anatomical locations"
<Gut-brain axis>,axis involving a communication linking the gut and the brain
<Metabolite>,"molecule involved in metabolism, either as an intermediate or an end product"
<Gut metabolite>,metabolite produced by biochemical reactions in the gut
<Tryptophan metabolite>,metabolite produced during the catabolism of tryptophan
<Depression>,"feeling, that is persistent, of sadness, despair, and loss of energy"
<Depressive disorder>,"mood disorder characterized by the presence of sad, empty, or irritable mood, and associated changes that significantly affect the capacity to function of an individual"
<Lipopolysaccharide>,"polysaccharide that contains lipid, acts as an endotoxin, and forms part  of the cell wall of Gram-negative bacteria"
<Stress>,"response of the body to physical, mental, or emotional pressure"
<Chronic stress>,stress suffered for a prolonged period
<Susceptibility>,"state of being predisposed or sensitive to developing a disease, group of diseases, or metabolic or structural anomalies, influenced by a combination of genetic and environmental factors"
<Probiotic>,"microorganism that is live and viable, that beneficially influences the intestinal microbial balance of the host"
<Prebiotic>,"substrate that is non-viable, conferring a health benefit, that serve as nutrients for beneficial microorganisms harboured by the host, including administered probiotic strains and resident microorganisms"
<Probiotic food>,functional food that contains viable probiotic microorganisms in sufficient populations
