num_article,doi,mention,concept
32,10.1016/j.neubiorev.2024.105562,fermented foods,<Fermented food>
32,10.1016/j.neubiorev.2024.105562,microbiota-gut-brain axis,<Microbiota-gut-brain axis>
32,10.1016/j.neubiorev.2024.105562,mental health,<Mental health>
32,10.1016/j.neubiorev.2024.105562,whole food supplementation strategies,<Whole food supplementation strategy>
32,10.1016/j.neubiorev.2024.105562,gut microbes,<Gut microorganism>
32,10.1016/j.neubiorev.2024.105562,psychobiotics,<Psychobiotic>
32,10.1016/j.neubiorev.2024.105562,behaviour,<Behavior>
32,10.1016/j.neubiorev.2024.105562,whole food microbiota modulating intervention,<Whole food>
32,10.1016/j.neubiorev.2024.105562,whole food microbiota modulating intervention,<Microbiota>
32,10.1016/j.neubiorev.2024.105562,whole food microbiota modulating intervention,<Intervention>
32,10.1016/j.neubiorev.2024.105562,microbes,<Microorganism>
32,10.1016/j.neubiorev.2024.105562,microbial metabolites,<Microbial metabolite>
32,10.1016/j.neubiorev.2024.105562,bioactives,<Bioactive>
32,10.1016/j.neubiorev.2024.105562,benefits,<Benefit>
32,10.1016/j.neubiorev.2024.105562,fermentation,<Fermentation>
32,10.1016/j.neubiorev.2024.105562,gut microbiota,<Gut microbiota>
32,10.1016/j.neubiorev.2024.105562,gut,<Gut>
32,10.1016/j.neubiorev.2024.105562,brain,<Brain>
32,10.1016/j.neubiorev.2024.105562,communication pathways,<Pathway>
32,10.1016/j.neubiorev.2024.105562,immune system,<Immune system>
32,10.1016/j.neubiorev.2024.105562,human studies,<Human study>
32,10.1016/j.neubiorev.2024.105562,mental health-promoting potential,<Mental health>
32,10.1016/j.neubiorev.2024.105562,therapeutic merit,<Therapy>
210,10.3928/02793695-20230215-02,brain,<Brain>
210,10.3928/02793695-20230215-02,gut,<Gut>
210,10.3928/02793695-20230215-02,psychiatric disorders,<Psychiatric disorder>
210,10.3928/02793695-20230215-02,treatment,<Treatment>
210,10.3928/02793695-20230215-02,immune interconnections,<Immune system>
210,10.3928/02793695-20230215-02,gut microbiota,<Gut microbiota>
210,10.3928/02793695-20230215-02,psychiatric symptoms and disorders,<Psychiatric symptom>
210,10.3928/02793695-20230215-02,psychiatric symptoms and disorders,<Psychiatric disorder>
210,10.3928/02793695-20230215-02,psychiatric disorders,<Psychiatric disorder>
210,10.3928/02793695-20230215-02,treatments,<Treatment>
103,10.1016/j.artmed.2023.102677,gut microbiota,<Gut microbiota>
103,10.1016/j.artmed.2023.102677,mental health,<Mental health>
103,10.1016/j.artmed.2023.102677,food,<Food>
103,10.1016/j.artmed.2023.102677,gut-brain axis,<Gut-brain axis>
103,10.1016/j.artmed.2023.102677,gut microbiota metabolism,<Gut microbiota metabolism>
103,10.1016/j.artmed.2023.102677,mental diseases,<Mental disease>
140,10.3389/fncir.2023.1170395,brain,<Brain>
140,10.3389/fncir.2023.1170395,nutritional psychiatry,<Nutritional psychiatry>
140,10.3389/fncir.2023.1170395,benefits,<Benefit>
140,10.3389/fncir.2023.1170395,fresh foods,<Fresh food>
140,10.3389/fncir.2023.1170395,brain health,<Brain health>
140,10.3389/fncir.2023.1170395,food components,<Food component>
140,10.3389/fncir.2023.1170395,gut microbiota,<Gut microbiota>
140,10.3389/fncir.2023.1170395,mental health,<Mental health>
140,10.3389/fncir.2023.1170395,spaceflight food system,<Food>
140,10.3389/fncir.2023.1170395,food system,<Food>
353,10.3390/microorganisms10040763,gut microbiome,<Gut microbiome>
353,10.3390/microorganisms10040763,mental health disparities,<Mental health>
