num_article,doi,mention,concept
335,10.1016/j.bbapap.2024.141018,human and bacterial amyloids,<Human>
335,10.1016/j.bbapap.2024.141018,human and bacterial amyloids,<Amyloid>
335,10.1016/j.bbapap.2024.141018,human and bacterial amyloids,<Bacterial amyloid>
335,10.1016/j.bbapap.2024.141018,neurodegenerative diseases,<Neurodegenerative disease>
335,10.1016/j.bbapap.2024.141018,neurodegenerative disorders,<Neurodegenerative disorder>
335,10.1016/j.bbapap.2024.141018,Parkinson's (PD) and Alzheimer's diseases,<Parkinson's disease>
335,10.1016/j.bbapap.2024.141018,Parkinson's (PD) and Alzheimer's diseases,<Alzheimer's disease>
335,10.1016/j.bbapap.2024.141018,AD,<Alzheimer's disease>
335,10.1016/j.bbapap.2024.141018,proteins,<Protein>
335,10.1016/j.bbapap.2024.141018,scaffold,<Scaffold>
335,10.1016/j.bbapap.2024.141018,amyloids,<Amyloid>
335,10.1016/j.bbapap.2024.141018,diseases,<Disease>
335,10.1016/j.bbapap.2024.141018,endogenous amyloids,<Amyloid>
335,10.1016/j.bbapap.2024.141018,bacterial amyloids,<Bacterial amyloid>
335,10.1016/j.bbapap.2024.141018,disorders,<Disorder>
335,10.1016/j.bbapap.2024.141018,gut-brain axis,<Gut-brain axis>
335,10.1016/j.bbapap.2024.141018,communication pathway,<Pathway>
335,10.1016/j.bbapap.2024.141018,bacterial and human amyloids,<Bacterial amyloid>
335,10.1016/j.bbapap.2024.141018,bacterial and human amyloids,<Human>
335,10.1016/j.bbapap.2024.141018,bacterial and human amyloids,<Amyloid>
335,10.1016/j.bbapap.2024.141018,mechanism,<Mechanism>
335,10.1016/j.bbapap.2024.141018,human amyloid formation,<Human>
335,10.1016/j.bbapap.2024.141018,human amyloid formation,<Amyloid>
335,10.1016/j.bbapap.2024.141018,PD,<Parkinson's disease>
138,10.1515/revneuro-2020-0078,ketogenic diet,<Ketogenic diet>
138,10.1515/revneuro-2020-0078,KD,<Ketogenic diet>
138,10.1515/revneuro-2020-0078,CNS disorders,<Central nervous system disorder>
138,10.1515/revneuro-2020-0078,gut microbiota,<Gut microbiota>
138,10.1515/revneuro-2020-0078,neurological diseases,<Neurological disease>
138,10.1515/revneuro-2020-0078,gut-brain axis,<Gut-brain axis>
138,10.1515/revneuro-2020-0078,diet,<Diet>
138,10.1515/revneuro-2020-0078,antibiotic therapy,<Antibiotic therapy>
138,10.1515/revneuro-2020-0078,stress,<Stress>
138,10.1515/revneuro-2020-0078,metabolism,<Metabolism>
138,10.1515/revneuro-2020-0078,genetics,<Genetics>
138,10.1515/revneuro-2020-0078,colonization pattern,<Colonization>
138,10.1515/revneuro-2020-0078,microbiota,<Microbiota>
138,10.1515/revneuro-2020-0078,carbohydrate,<Carbohydrate>
138,10.1515/revneuro-2020-0078,protein,<Protein>
138,10.1515/revneuro-2020-0078,fat,<Fat>
138,10.1515/revneuro-2020-0078,gut microbiome,<Gut microbiome>
138,10.1515/revneuro-2020-0078,protective effects,<Protective effect>
138,10.1515/revneuro-2020-0078,central nervous system (CNS) disorders,<Central nervous system>
138,10.1515/revneuro-2020-0078,central nervous system (CNS) disorders,<Central nervous system disorder>
138,10.1515/revneuro-2020-0078,gut microbes,<Gut microorganism>
138,10.1515/revneuro-2020-0078,pathogenesis,<Pathogenesis>
138,10.1515/revneuro-2020-0078,epilepsy,<Epilepsy>
138,10.1515/revneuro-2020-0078,Parkinson's disease,<Parkinson's disease>
138,10.1515/revneuro-2020-0078,PD,<Parkinson's disease>
138,10.1515/revneuro-2020-0078,Alzheimer's disease,<Alzheimer's disease>
138,10.1515/revneuro-2020-0078,AD,<Alzheimer's disease>
138,10.1515/revneuro-2020-0078,autism spectrum disorders,<Autism spectrum disorder>
138,10.1515/revneuro-2020-0078,ASDs,<Autism spectrum disorder>
138,10.1515/revneuro-2020-0078,multiple sclerosis,<Multiple sclerosis>
138,10.1515/revneuro-2020-0078,MS,<Multiple sclerosis>
138,10.1515/revneuro-2020-0078,amyotrophic lateral sclerosis,<Amyotrophic lateral sclerosis>
138,10.1515/revneuro-2020-0078,ALS,<Amyotrophic lateral sclerosis>
