num_article,doi
32,https://doi.org/10.1016/j.neubiorev.2024.105562
210,https://doi.org/10.3928/02793695-20230215-02
103,https://doi.org/10.1016/j.artmed.2023.102677
140,https://doi.org/10.3389/fncir.2023.1170395
353,https://doi.org/10.3390/microorganisms10040763
286,https://doi.org/10.3390/ijerph191911882
318,https://doi.org/10.1038/s41598-022-16251-x
422,https://doi.org/10.1093/femsle/fnab096
308,https://doi.org/10.1016/j.brainresbull.2022.05.014
461,https://doi.org/10.1590/1516-4446-2020-0987
544,https://doi.org/10.2144/fsoa-2020-0006
572,https://doi.org/10.1159/000504496
570,https://doi.org/10.1016/j.neubiorev.2019.12.011
549,https://doi.org/10.1016/j.conb.2020.01.016
611,https://doi.org/10.3389/fendo.2019.00081
625,https://doi.org/10.12740/pp/onlinefirst/81103
651,https://doi.org/10.1016/j.schres.2017.04.017
661,https://doi.org/10.1515/revneuro-2017-0001
688,https://doi.org/10.1186/s13073-016-0292-1
681,https://doi.org/10.1097/md.0000000000005585
687,https://doi.org/10.1093/ijnp/pyv114
703,https://doi.org/10.3402/mehd.v26.26309
95,https://doi.org/10.3390/ijms242216459
