num_article,doi
335,https://doi.org/10.1016/j.bbapap.2024.141018
138,https://doi.org/10.1515/revneuro-2020-0078
120,https://doi.org/10.1038/s41531-021-00156-z
369,https://doi.org/10.2174/1570159x20666221003085508
275,https://doi.org/10.4103/1673-5374.373673
272,https://doi.org/10.1055/s-0043-1771463
241,https://doi.org/10.1101/2023.12.01.569645
152,https://doi.org/10.1016/bs.irn.2022.07.006
151,https://doi.org/10.1016/s0074-7742(22)00138-6
205,https://doi.org/10.3233/jad-215224
270,https://doi.org/10.1016/j.lfs.2023.122022
334,https://doi.org/10.1134/s0006297924030118
88,https://doi.org/10.3390/ijms221810028
41,https://doi.org/10.1016/j.cmet.2019.07.005
